lat,long,Samples,Positives
44.467786,28.48079,26,26
44.507283,28.376464,3,3
44.665883,21.697423,1,1
44.858061,22.407201,10,10
45.146405,28.716085,56,56
46.82318,22.428403,2,2
46.975426,22.014882,27,27
47.222863,24.724419,4,4
50.0714722,4.6059942,1,0
50.1252359,5.1872858,14,12
50.1550742,5.2280491,10,4
50.1596036,5.2221665,11,0
50.7455394,3.6031841,5,0
50.7505367,3.6005095,7,0
50.76141,5.37466,1,0
50.781769,5.6907206,13,5
50.8089945,5.6012328,10,6
50.8326785,5.4611567,2,0
50.8329777,5.5150984,1,0
50.8656592,5.7823539,3,0
50.9831649,5.045357,24,0
50.98965,5.05016,2,0
51.0535399,3.7478056,3,1
51.0618341,4.4593643,7,0
51.0622641,3.6741634,1,0
51.0676813,4.4572147,14,8
51.0745446,4.4919491,5,0
51.0751267,2.6034114,1,0
51.08586,2.94081,4,0
51.0962794,2.5905629,1,0
51.118293,4.597435,25,7
51.118802,3.29117,17,0
51.1258102,4.2706342,1,0
51.1329,5.4536,16,0
51.13915,4.62968,1,0
51.148591,4.6357343,11,1
51.1520203,3.4570942,5,2
52.3666303,4.8555849,295,108
51.1729241,3.5590275,2,0
51.186795,4.4797272,7,0
51.1940086,4.4733041,6,0
51.1966684,4.4856299,1,0
51.2247732,4.6144563,2,0
51.2773558,4.520124,1,0
51.333333,3.816667,3,1
51.4427238,6.0608726,1,0
51.4503945,6.0514924,1,0
51.6877193,5.7845872,1,0
51.6978162,5.3036748,1,1
51.7043949,5.5612692,1,0
51.7611801,5.5140482,2,0
51.8244417,5.0477201,5,2
51.9851034,5.8987296,11,7
52.0024191,5.7861376,9,1
52.00804,5.87078,5,0
52.0115769,4.3570677,1,0
52.0253955,5.8948327,5,0
52.0312972,4.6591318,27,10
52.0503946,4.2380519,1,0
52.0523687,5.6882749,2,0
52.060669,4.494025,11,2
52.0704978,4.3006999,39,15
52.1399988,6.2237936,2,0
52.1429096,4.4012129,2,0
52.1520203,4.4570942,5,0
52.1916423,4.5664685,1,0
52.211157,5.9699231,4,0
52.214425,4.6402743,1,0
52.221069,5.7787878,38,7
52.2384701,6.1010719,1,1
52.2986655,5.6296194,1,0
52.3518964,6.1270756,5,1
52.3747719,5.769895,8,2
52.3789322,4.592275,2,1
52.456752,6.5657522,2,0
52.5248059,6.4262926,8,5
52.5936784,6.6654677,15,0
52.6423654,5.0602124,13,0
52.6429144,6.1994944,20,6
52.791137,4.7038108,6,4
52.8860319,5.0665317,48,13
52.9095106,5.0427036,24,0
52.9139593,5.0516647,4,0
52.9360408,4.7737542,1,1
52.9562808,4.7607972,2,2
53.1584881,7.0362284,1,0
53.1634743,6.7563197,1,0
53.1754263,5.4170818,2,0
53.2193835,6.5665018,2,2
53.2273799,6.3507333,6,1
53.2486932,6.6482078,4,0
51.2247732,4.6144563,2,0
44.481319,28.524819,1,1
45.458146,25.938247,1,1
45.846695,18.394778,11,11
45.850888,18.399181,1,1
45.94898,18.705802,1,1
46.072735,18.232266,1,1
46.152946,18.209882,1,1
46.162022,18.242438,5,5
46.187153,18.265264,1,1
46.314926,18.754413,1,1
46.562153,23.689963,5,5
47.24167,17.911504,1,1
47.691697,18.899781,1,1
47.728743,18.842995,4,4
48.066816,20.632477,1,1
48.139261,20.426041,4,4
