V1,V2,weight
Ept.nil,Ept.ser,0.3661
Ept.ser,Myo.das,1.3119
Ept.ser,Myo.dau,0.8128
Ept.ser,Myo.ema,1.1636
Ept.ser,Myo.mys,0.4631
Ept.ser,Pip.nat,0.8738
Ept.ser,Ple.aur,0.5894
Min.sch,Myo.bly,0.8621
Min.sch,Myo.cap,0.4188
Min.sch,Myo.dau,1.3181
Min.sch,Rhi.eur,0.5161
Myo.bec,Myo.dau,0.6702
Myo.bec,Myo.myo,0.8684
Myo.bly,Myo.dau,1.4599
Myo.bly,Myo.ema,1.3969
Myo.bly,Myo.myo,1.8321
Myo.bly,Rhi.fer,0.8207
Myo.das,Myo.dau,0.7746
Myo.das,Myo.ema,0.907
Myo.das,Pip.nat,0.7072
Myo.das,Ple.aur,0.6066
Myo.dau,Myo.myo,1.3647
Myo.dau,Pip.pyg,0.5269
Myo.myo,Myo.nat,0.7808
Myo.myo,Pip.pyg,0.582
Nyc.noc,Pip.nat,0.7333
Pip.nat,Pip.pip,0.746
Rhi.bla,Rhi.eur,0.6161
Rhi.eur,Rhi.fer,1.4746
Rhi.eur,Rhi.meh,1.0987
