,OTU1,OTU2,OTU3,OTU4,OTU5,OTU11,OTU16,OTU19,OTU20,OTU21,EsSk,OTU22,OTU24,OTU25,OTU26,OTU27,OTU31,OTU32,OTU33,OTU42
Ept.nil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ept.ser,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Min.sch,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0
Myo.bec,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Myo.bly,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1
Myo.cap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Myo.das,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Myo.dau,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0
Myo.ema,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0
Myo.myo,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
Myo.mys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Myo.nat,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nyc.noc,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Pip.nat,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Pip.pip,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Pip.pyg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ple.aur,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rhi.bla,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhi.eur,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhi.fer,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Rhi.meh,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
