,Min.sch_B44655,Min.sch_B44692,Myo.bly_B44657,Rhi.eur_B44540,Rhi.meh_Pht.bia_77CJ1334221,Rhi.fer_B44671,Rhi.eur_B44537,Myo.bly_B44620,Myo.ema_B44544,Myo.das_Cim.pip_264BB,Ept.ser_Spi.sp1_26S83,Myo.dau_KF003129,Myo.bly_B44622,Rhi.fer_B44613,Myo.ema_B44735,Nyc.noc_AJ871615,Pip.pyg_B44734,Myo.dau_Nyb.kol_2BF78,Myo.ema_B44617,Myo.bly_B44721
Ept.nil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ept.ser,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Min.sch,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0
Myo.bec,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Myo.bly,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1
Myo.cap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Myo.das,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Myo.dau,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0
Myo.ema,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0
Myo.myo,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
Myo.mys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Myo.nat,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nyc.noc,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Pip.nat,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Pip.pip,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Pip.pyg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ple.aur,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rhi.bla,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhi.eur,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhi.fer,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Rhi.meh,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
