id,lab,axis,radius,size,community,color
1,Arg.ves,3,9,1,VespB,#d95f02
2,Bas.nan,3,7,1,VespA,#1b9e77
3,Bas.nat,3,8,1,VespA,#1b9e77
4,Cim.pip,3,10,1,VespB,#d95f02
5,Isc.var,3,11,1,VespB,#d95f02
6,Ixo.ari,3,13,1,VespB,#d95f02
7,Mac.sp4,3,14,1,VespB,#d95f02
8,Nyb.kol,3,6,1,VespA,#1b9e77
9,Nyb.sch,3,2,1,Min/Myo,#e7298a
10,Pen.con,3,4,1,Min/Myo,#e7298a
11,Pen.duf,3,3,1,Min/Myo,#e7298a
12,Pht.bia,3,5,1,Rhi,#7570b3
13,Spi.sp2,3,15,1,VespB,#d95f02
14,Spi.and,3,12,1,VespB,#d95f02
15,Spi.kol,3,16,1,VespC,#66a61e
16,Spi.myo,3,1,1,Min/Myo,#e7298a
17,Spi.ple,3,17,1,VespD,#e6ab02
18,OTU1,1,2,1,Min/Myo,#e7298a
19,OTU2,1,3,1,Min/Myo,#e7298a
20,OTU3,1,10,1,VespA,#1b9e77
21,OTU4,1,7,1,Rhi,#7570b3
22,OTU5,1,9,1,Rhi,#7570b3
23,OTU11,1,5,1,Rhi,#7570b3
24,OTU16,1,6,1,Rhi,#7570b3
25,OTU19,1,14,1,VespB,#d95f02
26,OTU20,1,20,1,VespE,#a6761d
27,OTU21,1,17,1,VespB,#d95f02
28,EsSk,1,19,1,VespC,#66a61e
29,OTU22,1,13,1,VespA,#1b9e77
30,OTU24,1,11,1,VespA,#1b9e77
31,OTU25,1,8,1,Rhi,#7570b3
32,OTU26,1,15,1,VespB,#d95f02
33,OTU27,1,18,1,VespB,#d95f02
34,OTU31,1,1,1,Min/Myo,#e7298a
35,OTU32,1,12,1,VespA,#1b9e77
36,OTU33,1,16,1,VespB,#d95f02
37,OTU42,1,4,1,Min/Myo,#e7298a
38,Ept.nil,2,19,1,VespC,#66a61e
39,Ept.ser,2,18,1,VespC,#66a61e
40,Myo.bec,2,11,1,VespA,#1b9e77
41,Myo.bly,2,1,1,Min/Myo,#e7298a
42,Myo.das,2,12,1,VespB,#d95f02
43,Myo.dau,2,9,1,VespA,#1b9e77
44,Myo.myo,2,2,1,Min/Myo,#e7298a
45,Myo.mys,2,13,1,VespB,#d95f02
46,Myo.nat,2,10,1,VespA,#1b9e77
47,Nyc.noc,2,14,1,VespB,#d95f02
48,Pip.nat,2,16,1,VespB,#d95f02
49,Pip.pip,2,15,1,VespB,#d95f02
50,Pip.pyg,2,17,1,VespB,#d95f02
51,Ple.aur,2,20,1,VespD,#e6ab02
52,Rhi.eur,2,6,1,Rhi,#7570b3
53,Rhi.fer,2,5,1,Rhi,#7570b3
54,Min.sch,2,3,1,Min/Myo,#e7298a
55,Myo.ema,2,21,1,VespE,#a6761d
56,Myo.cap,2,4,1,Min/Myo,#e7298a
57,Rhi.bla,2,8,1,Rhi,#7570b3
58,Rhi.meh,2,7,1,Rhi,#7570b3
