"","V1","V2","V3"
"1","polygon.sp1","52.9478809934262","56.3928987749145"
"2","polygon.sp2","43.5167974664801","44.4893166619145"
"3","polygon.sp3","19.4137537606485","43.9563246186927"
"4","polygon.sp4","12.5177590155679","46.4061741671278"
"5","polygon.sp5","54.1614574948171","37.0267816957234"
"6","polygon.sp6","21.2061062376424","42.5821207325272"
"7","polygon.sp7","52.0654976911242","55.3691448144749"
"8","polygon.sp8","10.6768900731618","44.6009479673479"
"9","polygon.sp9","31.1311078861744","52.1880759798045"
"10","polygon.sp10","11.6178062136234","46.021111778577"
"11","polygon.sp11","23.5942746697451","51.9948579056226"
"12","polygon.sp12","24.8198856665907","51.9101794007853"
"13","polygon.sp13","27.7649559675864","49.2169990882641"
"14","polygon.sp14","26.1796505963677","49.8641125853776"
"15","polygon.sp15","56.9107111706748","38.8539703747089"
"16","polygon.sp16","18.112375914333","51.0567221772405"
"17","polygon.sp17","28.3898145216576","51.4687433099686"
"18","polygon.sp18","53.8499365930972","33.2700977115"
"19","polygon.sp19","8.00401376359313","42.4438575087174"
"20","polygon.sp20","56.4620146153652","34.9993655558634"
"21","polygon.sp21","0.380666709478622","34.2417266769754"
