"","betweenness","greedy","infomap","label","eigen","louvain","optimal","spinglass","walktrap"
"Arg.ves",1,3,1,1,1,2,1,1,2
"Bas.nan",1,6,3,2,3,1,2,6,4
"Bas.nat",1,6,3,3,3,1,2,6,4
"Cim.pip",1,3,1,4,1,2,1,1,2
"Isc.var",1,3,1,5,1,2,1,1,2
"Ixo.ari",1,1,6,4,3,2,3,5,2
"Mac.sp4",1,3,1,4,1,2,1,1,2
"Nyb.kol",1,6,3,6,3,1,2,6,4
"Nyb.sch",2,2,2,7,2,4,4,2,7
"Pen.con",2,2,2,7,2,4,4,2,7
"Pen.duf",2,2,2,8,2,4,4,2,7
"Pht.bia",2,5,4,9,6,6,5,4,1
"Spi.sp2",3,3,1,5,1,2,1,1,2
"Spi.and",1,3,1,4,3,2,1,1,2
"Spi.kol",1,4,5,10,5,3,6,3,5
"Spi.myo",1,2,2,8,3,4,4,2,4
"Spi.ple",1,4,6,11,5,3,6,3,2
"OTU1",2,2,2,7,2,4,4,2,7
"OTU2",2,2,2,7,2,4,4,2,7
"OTU3",2,6,3,6,2,1,2,6,4
"OTU4",2,5,4,9,6,6,5,4,1
"OTU5",2,5,4,9,6,6,5,4,1
"OTU11",2,5,4,9,6,6,5,4,1
"OTU16",2,5,4,9,6,6,5,4,1
"OTU19",1,3,1,4,1,2,1,1,2
"OTU20",2,1,7,12,4,5,3,5,6
"OTU21",1,3,1,4,1,2,1,1,2
"EsSk",1,4,5,10,5,3,6,3,5
"OTU22",1,6,3,6,3,1,2,6,4
"OTU24",1,6,3,6,3,1,2,6,4
"OTU25",2,5,4,9,6,6,5,4,1
"OTU26",1,3,1,5,1,2,1,1,2
"OTU27",3,3,1,13,5,2,1,1,3
"OTU31",2,2,2,7,2,4,4,2,7
"OTU32",1,6,3,2,3,1,2,6,4
"OTU33",1,3,1,4,1,2,1,1,2
"OTU42",2,2,2,8,3,4,4,2,4
"Ept.nil",1,4,5,10,5,3,6,3,5
"Ept.ser",1,4,5,10,5,3,6,3,2
"Myo.bec",1,6,3,2,3,1,2,6,4
"Myo.bly",2,2,2,8,2,4,4,2,4
"Myo.das",1,3,1,4,1,2,1,1,2
"Myo.dau",1,6,3,6,3,1,2,6,4
"Myo.myo",2,2,2,8,2,4,4,2,4
"Myo.mys",1,3,1,1,3,2,1,1,2
"Myo.nat",1,6,3,3,3,1,2,6,4
"Nyc.noc",3,3,1,13,5,2,1,1,3
"Pip.nat",1,3,1,5,1,2,1,1,2
"Pip.pip",1,3,1,1,1,2,1,1,2
"Pip.pyg",1,3,1,4,1,2,1,1,2
"Ple.aur",1,4,6,11,5,3,6,3,2
"Rhi.eur",2,5,4,9,6,6,5,4,1
"Rhi.fer",2,5,4,9,6,6,5,4,1
"Min.sch",2,2,2,7,2,4,4,2,7
"Myo.ema",1,1,7,12,3,5,3,5,6
"Myo.cap",2,2,2,8,2,4,4,2,7
"Rhi.bla",2,5,4,9,6,6,5,4,1
"Rhi.meh",2,5,4,9,6,6,5,4,1
