"","range.frag","log10.range.frag"
"Eptesicus nilssonii",1.60880805688304,0.206504232533417
"Eptesicus serotinus",1.18089801085434,0.0722123910632756
"Miniopterus schreibersii",0.84421429033858,-0.0735473006503834
"Myotis bechsteinii",1.04136981658133,0.0176049857824035
"Myotis blythii",1.13548748838034,0.055182353212457
"Myotis capaccinii",0.366510463613668,-0.435913622046569
"Myotis dasycneme",1.85912330181852,0.269308194249354
"Myotis emarginatus",1.55533998867208,0.191825338099006
"Myotis daubentonii",0.962768391250583,-0.0164781765303624
"Myotis myotis",1.20071505762659,0.0794399569593335
"Myotis mystacinus",0.98779923041769,-0.00533131652786257
"Myotis nattereri",0.806539678938315,-0.0933742619761167
"Nyctalus noctula",1.24410950898321,0.0948586094978404
"Pipistrellus nathusii",1.00348691256227,0.00151171280850652
"Pipistrellus pipistrellus",1.08360472329448,0.0348708893993891
"Pipistrellus pygmaeus",0.424817511174801,-0.371797589737687
"Plecotus auritus",1.00378460733904,0.00164053165389467
"Rhinolophus blasii",0.809683052936472,-0.091684950625264
"Rhinolophus euryale",0.636985992977732,-0.195870117490963
"Rhinolophus ferrumequinum",1.06840970214838,0.0287378231628637
"Rhinolophus mehelyi",0.599937725056734,-0.221893828062813
