"","range.size","log10.range.size"
"Eptesicus nilssonii",1519.67008719931,3.18174931501034
"Eptesicus serotinus",1318.86671754965,3.12020090869463
"Miniopterus schreibersii",392.142981401629,2.59344444638724
"Myotis bechsteinii",295.642421288802,2.47076675045963
"Myotis blythii",652.358853369627,2.81448656070965
"Myotis capaccinii",130.809205929244,2.11663830930615
"Myotis dasycneme",769.33532631688,2.88611567481685
"Myotis emarginatus",1920.42843369752,3.28339812747132
"Myotis daubentonii",483.738024029229,2.68461022627006
"Myotis myotis",443.079679625344,2.64648183301752
"Myotis mystacinus",644.348015296904,2.80912049515439
"Myotis nattereri",712.958475261042,2.85306423603678
"Nyctalus noctula",971.150729627553,2.98728664078878
"Pipistrellus nathusii",743.714344172666,2.87140615789593
"Pipistrellus pipistrellus",1269.60985781646,3.10367028581569
"Pipistrellus pygmaeus",247.822877151324,2.39414139470343
"Plecotus auritus",842.496457589512,2.92556808348692
"Rhinolophus blasii",326.323938724587,2.51364893426795
"Rhinolophus euryale",315.638763085613,2.49919033281503
"Rhinolophus ferrumequinum",990.811232564376,2.99599092142316
"Rhinolophus mehelyi",201.724698957673,2.30475907602299
